Year;VotingSet;AwardedTo;AwardedBy;Points
2021;SF1_Jury;Lithuania;Lithuania;NA
2021;SF1_Jury;Lithuania;Slovenia;0
2021;SF1_Jury;Lithuania;Russia;2
2021;SF1_Jury;Lithuania;Sweden;7
2021;SF1_Jury;Lithuania;Australia;2
2021;SF1_Jury;Lithuania;North Macedonia;0
2021;SF1_Jury;Lithuania;Ireland;5
2021;SF1_Jury;Lithuania;Cyprus;3
2021;SF1_Jury;Lithuania;Norway;0
2021;SF1_Jury;Lithuania;Croatia;6
2021;SF1_Jury;Lithuania;Belgium;2
2021;SF1_Jury;Lithuania;Israel;12
2021;SF1_Jury;Lithuania;Romania;8
2021;SF1_Jury;Lithuania;Azerbaijan;0
2021;SF1_Jury;Lithuania;Ukraine;1
2021;SF1_Jury;Lithuania;Malta;4
2021;SF1_Jury;Lithuania;Germany;4
2021;SF1_Jury;Lithuania;Italy;7
2021;SF1_Jury;Lithuania;Netherlands;3
2021;SF1_Jury;Slovenia;Lithuania;0
2021;SF1_Jury;Slovenia;Slovenia;NA
2021;SF1_Jury;Slovenia;Russia;0
2021;SF1_Jury;Slovenia;Sweden;0
2021;SF1_Jury;Slovenia;Australia;0
2021;SF1_Jury;Slovenia;North Macedonia;3
2021;SF1_Jury;Slovenia;Ireland;0
2021;SF1_Jury;Slovenia;Cyprus;6
2021;SF1_Jury;Slovenia;Norway;4
2021;SF1_Jury;Slovenia;Croatia;0
2021;SF1_Jury;Slovenia;Belgium;0
2021;SF1_Jury;Slovenia;Israel;3
2021;SF1_Jury;Slovenia;Romania;7
2021;SF1_Jury;Slovenia;Azerbaijan;4
2021;SF1_Jury;Slovenia;Ukraine;4
2021;SF1_Jury;Slovenia;Malta;5
2021;SF1_Jury;Slovenia;Germany;0
2021;SF1_Jury;Slovenia;Italy;0
2021;SF1_Jury;Slovenia;Netherlands;0
2021;SF1_Jury;Russia;Lithuania;0
2021;SF1_Jury;Russia;Slovenia;10
2021;SF1_Jury;Russia;Russia;NA
2021;SF1_Jury;Russia;Sweden;6
2021;SF1_Jury;Russia;Australia;7
2021;SF1_Jury;Russia;North Macedonia;7
2021;SF1_Jury;Russia;Ireland;8
2021;SF1_Jury;Russia;Cyprus;8
2021;SF1_Jury;Russia;Norway;3
2021;SF1_Jury;Russia;Croatia;8
2021;SF1_Jury;Russia;Belgium;12
2021;SF1_Jury;Russia;Israel;6
2021;SF1_Jury;Russia;Romania;5
2021;SF1_Jury;Russia;Azerbaijan;12
2021;SF1_Jury;Russia;Ukraine;0
2021;SF1_Jury;Russia;Malta;1
2021;SF1_Jury;Russia;Germany;7
2021;SF1_Jury;Russia;Italy;5
2021;SF1_Jury;Russia;Netherlands;12
2021;SF1_Jury;Sweden;Lithuania;3
2021;SF1_Jury;Sweden;Slovenia;0
2021;SF1_Jury;Sweden;Russia;7
2021;SF1_Jury;Sweden;Sweden;NA
2021;SF1_Jury;Sweden;Australia;6
2021;SF1_Jury;Sweden;North Macedonia;1
2021;SF1_Jury;Sweden;Ireland;1
2021;SF1_Jury;Sweden;Cyprus;7
2021;SF1_Jury;Sweden;Norway;10
2021;SF1_Jury;Sweden;Croatia;1
2021;SF1_Jury;Sweden;Belgium;6
2021;SF1_Jury;Sweden;Israel;5
2021;SF1_Jury;Sweden;Romania;4
2021;SF1_Jury;Sweden;Azerbaijan;6
2021;SF1_Jury;Sweden;Ukraine;3
2021;SF1_Jury;Sweden;Malta;10
2021;SF1_Jury;Sweden;Germany;12
2021;SF1_Jury;Sweden;Italy;4
2021;SF1_Jury;Sweden;Netherlands;5
2021;SF1_Jury;Australia;Lithuania;8
2021;SF1_Jury;Australia;Slovenia;0
2021;SF1_Jury;Australia;Russia;1
2021;SF1_Jury;Australia;Sweden;0
2021;SF1_Jury;Australia;Australia;NA
2021;SF1_Jury;Australia;North Macedonia;0
2021;SF1_Jury;Australia;Ireland;0
2021;SF1_Jury;Australia;Cyprus;0
2021;SF1_Jury;Australia;Norway;0
2021;SF1_Jury;Australia;Croatia;2
2021;SF1_Jury;Australia;Belgium;0
2021;SF1_Jury;Australia;Israel;0
2021;SF1_Jury;Australia;Romania;2
2021;SF1_Jury;Australia;Azerbaijan;0
2021;SF1_Jury;Australia;Ukraine;12
2021;SF1_Jury;Australia;Malta;0
2021;SF1_Jury;Australia;Germany;1
2021;SF1_Jury;Australia;Italy;0
2021;SF1_Jury;Australia;Netherlands;0
2021;SF1_Jury;North Macedonia;Lithuania;0
2021;SF1_Jury;North Macedonia;Slovenia;4
2021;SF1_Jury;North Macedonia;Russia;0
2021;SF1_Jury;North Macedonia;Sweden;0
2021;SF1_Jury;North Macedonia;Australia;0
2021;SF1_Jury;North Macedonia;North Macedonia;NA
2021;SF1_Jury;North Macedonia;Ireland;2
2021;SF1_Jury;North Macedonia;Cyprus;0
2021;SF1_Jury;North Macedonia;Norway;0
2021;SF1_Jury;North Macedonia;Croatia;0
2021;SF1_Jury;North Macedonia;Belgium;0
2021;SF1_Jury;North Macedonia;Israel;0
2021;SF1_Jury;North Macedonia;Romania;6
2021;SF1_Jury;North Macedonia;Azerbaijan;0
2021;SF1_Jury;North Macedonia;Ukraine;0
2021;SF1_Jury;North Macedonia;Malta;0
2021;SF1_Jury;North Macedonia;Germany;0
2021;SF1_Jury;North Macedonia;Italy;0
2021;SF1_Jury;North Macedonia;Netherlands;0
2021;SF1_Jury;Ireland;Lithuania;0
2021;SF1_Jury;Ireland;Slovenia;0
2021;SF1_Jury;Ireland;Russia;0
2021;SF1_Jury;Ireland;Sweden;1
2021;SF1_Jury;Ireland;Australia;3
2021;SF1_Jury;Ireland;North Macedonia;0
2021;SF1_Jury;Ireland;Ireland;NA
2021;SF1_Jury;Ireland;Cyprus;2
2021;SF1_Jury;Ireland;Norway;1
2021;SF1_Jury;Ireland;Croatia;0
2021;SF1_Jury;Ireland;Belgium;3
2021;SF1_Jury;Ireland;Israel;0
2021;SF1_Jury;Ireland;Romania;0
